13:02:43:923 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Click on the first center on the list ********
13:03:15:276 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify if center name and address are the same on the list and on the popup ********
13:13:56:225 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
13:13:56:229 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
13:13:59:749 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
13:14:08:582 [main] INFO  testCases.TC002_verifyNumberOfCenters - *****Type New York into search box and press Enter ****
13:14:30:495 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** verify if a number of found centers is the same as a number of centers displayed on the below list ********
13:14:31:942 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Click on the first center on the list ********
13:14:48:974 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify if center name and address are the same on the list and on the popup ********
13:20:21:365 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
13:20:21:368 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
13:20:25:267 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
13:20:29:333 [main] INFO  testCases.TC002_verifyNumberOfCenters - *****Type New York into search box and press Enter ****
13:20:49:663 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** verify if a number of found centers is the same as a number of centers displayed on the below list ********
13:20:51:406 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Click on the first center on the list ********
13:21:06:009 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify if center name and address are the same on the list and on the popup ********
13:53:26:746 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
13:53:26:748 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
13:53:31:791 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
13:53:36:112 [main] INFO  testCases.TC002_verifyNumberOfCenters - *****Type New York into search box and press Enter ****
13:53:59:475 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** verify if a number of found centers is the same as a number of centers displayed on the below list ********
13:54:01:007 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Click on the first center on the list ********
13:54:23:909 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify if center name and address are the same on the list and on the popup ********
13:57:56:529 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
13:57:56:535 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
13:58:00:077 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
13:58:05:917 [main] INFO  testCases.TC002_verifyNumberOfCenters - *****Type New York into search box and press Enter ****
